epoch	loss	acc	val_loss	val_acc
1	0.855628	0.747899	1.453252	0.764706
2	0.190999	0.947059	0.760930	0.835294
3	0.101543	0.969748	0.622079	0.864706
4	0.088520	0.973950	0.804132	0.805882
5	0.064734	0.982353	0.592024	0.858824
6	0.086230	0.978151	2.432332	0.623529
7	0.112092	0.973109	0.679647	0.870588
8	0.070946	0.981513	2.643120	0.658824
9	0.034819	0.988235	1.054392	0.782353
10	0.009393	0.996639	0.505933	0.876471
11	0.002644	1.000000	0.362011	0.905882
12	0.010457	0.996639	0.301487	0.911765
13	0.007723	0.998319	0.263805	0.929412
14	0.003361	0.998319	0.229118	0.917647
15	0.003638	0.998319	0.222722	0.923529
16	0.005692	0.997479	0.221401	0.929412
17	0.009084	0.997479	0.205447	0.923529
18	0.002014	0.999160	0.205510	0.929412
19	0.003523	0.999160	0.202765	0.935294
20	0.003905	0.999160	0.199714	0.947059
21	0.000779	1.000000	0.205786	0.947059
22	0.002116	0.999160	0.212890	0.947059
23	0.017142	0.995798	0.230777	0.941176
24	0.003455	0.998319	0.231672	0.941176
25	0.000842	1.000000	0.224354	0.941176
26	0.006351	0.997479	0.222625	0.947059
27	0.002229	1.000000	0.221815	0.947059
28	0.000796	1.000000	0.217909	0.947059
29	0.003599	0.999160	0.218185	0.947059
30	0.001693	1.000000	0.219442	0.947059
