epoch	loss	acc	val_loss	val_acc
1	1.018226	0.731933	0.651996	0.811765
2	0.154028	0.953782	0.644073	0.847059
3	0.148939	0.957983	3.358224	0.529412
4	0.205443	0.944538	2.579187	0.670588
5	0.123932	0.969748	1.439075	0.782353
6	0.036107	0.988235	0.661300	0.811765
7	0.013365	0.994958	0.323206	0.882353
8	0.016149	0.994958	0.200116	0.923529
9	0.004173	1.000000	0.160292	0.935294
10	0.004132	1.000000	0.151573	0.941176
11	0.003758	1.000000	0.151172	0.947059
12	0.005675	0.998319	0.176388	0.952941
13	0.002847	0.999160	0.170743	0.952941
14	0.009518	0.998319	0.164918	0.941176
15	0.004457	0.999160	0.162927	0.941176
16	0.004390	0.998319	0.161826	0.941176
17	0.005926	0.997479	0.160656	0.941176
18	0.006056	0.999160	0.162121	0.941176
19	0.003760	0.999160	0.161088	0.941176
20	0.002854	1.000000	0.160525	0.941176
21	0.006030	0.998319	0.162330	0.941176
